"","PERIOD","FLOW","REPORTER","MAP_NAME","PARTNER","VAL","NET"
"100",2019,"Import","Guyana","Guyana","World",2456,"238"
"101",2019,"Import","Togo","Togo","World",2379,"3715"
"102",2019,"Import","Cyprus","Cyprus","World",2374,"125"
"103",2019,"Import","Congo","Congo","World",1990,"2916"
"104",2019,"Import","Aruba","Aruba","World",1435,"33"
"105",2019,"Import","Eswatini","Swaziland","World",1256,"180"
"106",2019,"Import","Uzbekistan","Uzbekistan","World",1254,"137"
"107",2019,"Import","Kyrgyzstan","Kyrgyzstan","World",1200,"500"
"108",2019,"Import","Colombia","Colombia","World",1182,"58"
"109",2019,"Import","El Salvador","El Salvador","World",1109,"42"
"110",2019,"Import","Ghana","Ghana","World",1034,"69"
"111",2019,"Import","Honduras","Honduras","World",982,"74"
"112",2019,"Import","Saint Lucia","St. Lucia","World",981,"228"
"113",2019,"Import","Benin","Benin","World",586,"810"
"114",2019,"Import","Saint Vincent and the Grenadines","St. Vincent and the Grenadines","World",443,"253"
"115",2019,"Import","Burkina Faso","Burkina Faso","World",426,"600"
"116",2019,"Import","Lao People's Dem. Rep.","Laos","World",322,"30"
"117",2019,"Import","Burundi","Burundi","World",156,"100"
"118",2019,"Import","Bermuda","Bermuda","World",153,"1"
"119",2019,"Import","Myanmar","Myanmar (Burma)","World",106,"11"
"120",2019,"Import","Guatemala","Guatemala","World",11,"4"
